obs_id,timestart,timeend,valor,timeupdate
16188879451,2021-05-01 00:00:00,2021-05-01 01:00:00,0,2021-05-01 00:18:00.487494
16189106381,2021-05-01 01:00:00,2021-05-01 02:00:00,0,2021-05-01 01:17:35.128141
16189225401,2021-05-01 02:00:00,2021-05-01 03:00:00,0,2021-05-01 03:17:15.368294
16189225400,2021-05-01 03:00:00,2021-05-01 04:00:00,0,2021-05-01 03:17:15.368294
16189320786,2021-05-01 04:00:00,2021-05-01 05:00:00,0,2021-05-01 04:17:06.67456
16189456687,2021-05-01 05:00:00,2021-05-01 06:00:00,0,2021-05-01 05:17:21.907589
16189600781,2021-05-01 06:00:00,2021-05-01 07:00:00,0,2021-05-01 06:17:17.685178
16189761385,2021-05-01 07:00:00,2021-05-01 08:00:00,0,2021-05-01 07:17:07.992417
16189915081,2021-05-01 08:00:00,2021-05-01 09:00:00,0,2021-05-01 08:17:05.87065
16190052734,2021-05-01 09:00:00,2021-05-01 10:00:00,0,2021-05-01 09:17:20.689419
16190200071,2021-05-01 10:00:00,2021-05-01 11:00:00,0,2021-05-01 10:17:03.8395
16190868409,2021-05-01 11:00:00,2021-05-01 12:00:00,0,2021-05-01 11:17:14.534617
16191436578,2021-05-01 12:00:00,2021-05-01 13:00:00,0,2021-05-01 12:17:32.19458
16191715487,2021-05-01 13:00:00,2021-05-01 14:00:00,0,2021-05-01 13:17:22.052271
16191867870,2021-05-01 14:00:00,2021-05-01 15:00:00,0,2021-05-01 14:17:11.512073
16192016124,2021-05-01 15:00:00,2021-05-01 16:00:00,0,2021-05-01 15:19:09.910394
16192180885,2021-05-01 16:00:00,2021-05-01 17:00:00,0,2021-05-01 16:19:15.583495
16192348552,2021-05-01 17:00:00,2021-05-01 18:00:00,0,2021-05-01 17:19:24.239688
16192518973,2021-05-01 18:00:00,2021-05-01 19:00:00,0,2021-05-01 18:19:22.565324
16192705786,2021-05-01 19:00:00,2021-05-01 20:00:00,0,2021-05-01 19:19:19.752257
